t,X,Y,Z,roll,pitch,yaw
-20.000000000,-0.187000000,1.038000000,0.307000000,3.141592654,-0.000000000,1.570796327
-19.900000000,-0.185315000,1.036000000,0.308500000,3.141530966,0.011106979,1.559688663
-19.800000000,-0.183630000,1.034000000,0.310000000,3.141345873,0.022212587,1.548578258
-19.700000000,-0.181945000,1.032000000,0.311500000,3.141037283,0.033315453,1.537462369
-19.600000000,-0.180260000,1.030000000,0.313000000,3.140605044,0.044414203,1.526338253
-19.500000000,-0.178575000,1.028000000,0.314500000,3.140048942,0.055507458,1.515203159
-19.400000000,-0.176890000,1.026000000,0.316000000,3.139368705,0.066593837,1.504054334
-19.300000000,-0.175205000,1.024000000,0.317500000,3.138563995,0.077671950,1.492889016
-19.200000000,-0.173520000,1.022000000,0.319000000,3.137634419,0.088740403,1.481704436
-19.100000000,-0.171835000,1.020000000,0.320500000,3.136579518,0.099797792,1.470497815
-19.000000000,-0.170150000,1.018000000,0.322000000,3.135398774,0.110842702,1.459266365
-18.900000000,-0.168465000,1.016000000,0.323500000,3.134091608,0.121873711,1.448007285
-18.800000000,-0.166780000,1.014000000,0.325000000,3.132657381,0.132889382,1.436717760
-18.700000000,-0.165095000,1.012000000,0.326500000,3.131095389,0.143888264,1.425394963
-18.600000000,-0.163410000,1.010000000,0.328000000,3.129404870,0.154868896,1.414036048
-18.500000000,-0.161725000,1.008000000,0.329500000,3.127585001,0.165829795,1.402638156
-18.400000000,-0.160040000,1.006000000,0.331000000,3.125634896,0.176769467,1.391198409
-18.300000000,-0.158355000,1.004000000,0.332500000,3.123553610,0.187686396,1.379713908
-18.200000000,-0.156670000,1.002000000,0.334000000,3.121340134,0.198579048,1.368181738
-18.100000000,-0.154985000,1.000000000,0.335500000,3.118993402,0.209445866,1.356598961
-18.000000000,-0.153300000,0.998000000,0.337000000,3.116512283,0.220285274,1.344962617
-17.900000000,-0.151615000,0.996000000,0.338500000,3.113895588,0.231095669,1.333269724
-17.800000000,-0.149930000,0.994000000,0.340000000,3.111142067,0.241875427,1.321517278
-17.700000000,-0.148245000,0.992000000,0.341500000,3.108250411,0.252622893,1.309702248
-17.600000000,-0.146560000,0.990000000,0.343000000,3.105219248,0.263336389,1.297821582
-17.500000000,-0.144875000,0.988000000,0.344500000,3.102047151,0.274014204,1.285872200
-17.400000000,-0.143190000,0.986000000,0.346000000,3.098732631,0.284654599,1.273850999
-17.300000000,-0.141505000,0.984000000,0.347500000,3.095274142,0.295255803,1.261754848
-17.200000000,-0.139820000,0.982000000,0.349000000,3.091670080,0.305816011,1.249580593
-17.100000000,-0.138135000,0.980000000,0.350500000,3.087918785,0.316333382,1.237325051
-17.000000000,-0.136450000,0.978000000,0.352000000,3.084018543,0.326806042,1.224985015
-16.900000000,-0.134765000,0.976000000,0.353500000,3.079967581,0.337232076,1.212557253
-16.800000000,-0.133080000,0.974000000,0.355000000,3.075764077,0.347609532,1.200038507
-16.700000000,-0.131395000,0.972000000,0.356500000,3.071406156,0.357936417,1.187425496
-16.600000000,-0.129710000,0.970000000,0.358000000,3.066891892,0.368210696,1.174714914
-16.500000000,-0.128025000,0.968000000,0.359500000,3.062219310,0.378430289,1.161903434
-16.400000000,-0.126340000,0.966000000,0.361000000,3.057386392,0.388593074,1.148987708
-16.300000000,-0.124655000,0.964000000,0.362500000,3.052391073,0.398696879,1.135964368
-16.200000000,-0.122970000,0.962000000,0.364000000,3.047231248,0.408739486,1.122830030
-16.100000000,-0.121285000,0.960000000,0.365500000,3.041904772,0.418718629,1.109581293
-16.000000000,-0.119600000,0.958000000,0.367000000,3.036409467,0.428631989,1.096214744
-15.900000000,-0.117915000,0.956000000,0.368500000,3.030743121,0.438477197,1.082726961
-15.800000000,-0.116230000,0.954000000,0.370000000,3.024903496,0.448251828,1.069114515
-15.700000000,-0.114545000,0.952000000,0.371500000,3.018888328,0.457953405,1.055373973
-15.600000000,-0.112860000,0.950000000,0.373000000,3.012695335,0.467579395,1.041501904
-15.500000000,-0.111175000,0.948000000,0.374500000,3.006322220,0.477127205,1.027494882
-15.400000000,-0.109490000,0.946000000,0.376000000,2.999766680,0.486594188,1.013349492
-15.300000000,-0.107805000,0.944000000,0.377500000,2.993026405,0.495977635,0.999062333
-15.200000000,-0.106120000,0.942000000,0.379000000,2.986099092,0.505274778,0.984630029
-15.100000000,-0.104435000,0.940000000,0.380500000,2.978982449,0.514482788,0.970049228
-15.000000000,-0.102750000,0.938000000,0.382000000,2.971674199,0.523598776,0.955316618
-14.900000000,-0.101065000,0.936000000,0.383500000,2.964172095,0.532619787,0.940428926
-14.800000000,-0.099380000,0.934000000,0.385000000,2.956473923,0.541542809,0.925382932
-14.700000000,-0.097695000,0.932000000,0.386500000,2.948577515,0.550364762,0.910175476
-14.600000000,-0.096010000,0.930000000,0.388000000,2.940480756,0.559082507,0.894803466
-14.500000000,-0.094325000,0.928000000,0.389500000,2.932181598,0.567692841,0.879263892
-14.400000000,-0.092640000,0.926000000,0.391000000,2.923678067,0.576192498,0.863553833
-14.300000000,-0.090955000,0.924000000,0.392500000,2.914968281,0.584578152,0.847670470
-14.200000000,-0.089270000,0.922000000,0.394000000,2.906050455,0.592846414,0.831611099
-14.100000000,-0.087585000,0.920000000,0.395500000,2.896922922,0.600993839,0.815373144
-14.000000000,-0.085900000,0.918000000,0.397000000,2.887584142,0.609016919,0.798954168
-13.900000000,-0.084215000,0.916000000,0.398500000,2.878032717,0.616912093,0.782351891
-13.800000000,-0.082530000,0.914000000,0.400000000,2.868267410,0.624675744,0.765564201
-13.700000000,-0.080845000,0.912000000,0.401500000,2.858287156,0.632304205,0.748589175
-13.600000000,-0.079160000,0.910000000,0.403000000,2.848091083,0.639793757,0.731425088
-13.500000000,-0.077475000,0.908000000,0.404500000,2.837678525,0.647140637,0.714070436
-13.400000000,-0.075790000,0.906000000,0.406000000,2.827049042,0.654341040,0.696523949
